2024-12-16 11:08:03,862 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:03,993 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:04,125 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 600 mm, Mean Disparity: 87.00, Variance: 4.50, Disparities: [84.0, 87.0, 90.0, 87.0]
2024-12-16 11:08:04,260 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:04,390 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.00, Variance: 5.00, Disparities: [84.0, 86.0, 90.0, 88.0]
2024-12-16 11:08:04,525 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 600 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:04,658 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:04,791 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:04,924 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:05,058 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 603 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:05,190 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 603 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:05,324 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 598 mm, Mean Disparity: 87.00, Variance: 4.50, Disparities: [84.0, 87.0, 90.0, 87.0]
2024-12-16 11:08:05,457 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.00, Variance: 4.50, Disparities: [84.0, 87.0, 90.0, 87.0]
2024-12-16 11:08:05,590 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 604 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:05,723 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:05,753 - INFO - Saved images - Left IR: Db\Realsense_20241216\left_images\left_image1.png, Right IR: Db\Realsense_20241216\right_images\right_image1.png, Depth PNG 1: Db\Realsense_20241216\depth_images\depth_image1_1.png, Depth NPY 1: Db\Realsense_20241216\depth_images\depth_image1_1.npy
2024-12-16 11:08:05,856 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.00, Variance: 4.50, Disparities: [84.0, 87.0, 90.0, 87.0]
2024-12-16 11:08:05,990 - INFO - Marker ID: 2, Calculated Depth: 574.25 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.00, Variance: 4.50, Disparities: [84.0, 87.0, 90.0, 87.0]
2024-12-16 11:08:06,123 - INFO - Marker ID: 2, Calculated Depth: 575.91 mm, Depth Image Depth: 601 mm, Mean Disparity: 86.75, Variance: 4.69, Disparities: [84.0, 86.0, 90.0, 87.0]
2024-12-16 11:08:06,257 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 604 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:06,389 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 603 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:06,523 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 601 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:06,657 - INFO - Marker ID: 2, Calculated Depth: 572.61 mm, Depth Image Depth: 602 mm, Mean Disparity: 87.25, Variance: 4.69, Disparities: [84.0, 87.0, 90.0, 88.0]
2024-12-16 11:08:06,664 - INFO - Program terminated by user.
